Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,12.37,12.37,2,12.46,12.46,3,12.46,12.46,4,12.70,12.70
3,9.95,22.32,4,9.86,22.32,1,9.60,22.06,2,9.56,22.26
3,9.42,31.74,4,9.51,31.83,2,9.64,31.70,1,9.20,31.46
4,9.41,41.15,1,9.03,40.87,3,9.28,40.99,2,9.47,40.94
4,9.26,50.41,1,9.21,50.09,3,9.13,50.12,2,9.15,50.10
4,8.94,59.36,2,9.13,59.22,1,9.01,59.14,3,9.23,59.34
3,8.84,1:08.21,4,9.02,1:08.24,2,8.87,1:08.01,1,8.51,1:07.85
3,8.94,1:17.15,4,9.11,1:17.36,2,8.88,1:16.90,1,8.88,1:16.74
3,9.11,1:26.259,4,9.43,1:26.788,2,9.22,1:26.120,1,9.32,1:26.060
