KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,Triphop THONGNGAM POSITION,Triphop THONGNGAM LAP TIME,Triphop THONGNGAM ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME
5,10.26,10.26,6,10.41,10.41,4,10.07,10.07,2,9.93,9.93,1,9.82,9.82,3,9.95,9.95
5,12.97,23.23,6,12.93,23.34,4,13.01,23.08,3,13.05,22.98,1,12.96,22.78,2,12.96,22.91
5,13.04,36.27,6,13.06,36.40,4,13.09,36.17,3,13.11,36.09,1,13.11,35.89,2,13.10,36.01
5,13.25,49.52,6,13.22,49.62,2,13.07,49.24,1,13.04,49.13,3,13.40,49.29,4,13.44,49.45
4,11.19,1:00.71,5,11.24,1:00.86,2,11.37,1:00.61,1,11.38,1:00.51,3,11.40,1:00.69,6,11.61,1:01.06
3,11.31,1:12.02,5,11.24,1:12.10,2,11.31,1:11.92,1,11.31,1:11.82,4,11.38,1:12.07,6,11.41,1:12.47
4,10.99,1:23.01,3,10.78,1:22.88,2,10.85,1:22.77,1,10.86,1:22.68,5,11.13,1:23.20,6,10.89,1:23.36
4,10.20,1:33.21,3,10.21,1:33.09,1,10.17,1:32.94,2,10.27,1:32.95,5,10.28,1:33.48,6,10.24,1:33.60
3,9.62,1:42.83,1,9.48,1:42.57,2,9.78,1:42.72,3,9.88,1:42.83,5,9.60,1:43.08,6,9.66,1:43.26
3,9.42,1:52.25,2,9.51,1:52.08,1,9.35,1:52.07,4,9.55,1:52.38,5,9.47,1:52.55,6,9.45,1:52.71
2,9.10,2:01.35,3,9.29,2:01.37,1,9.23,2:01.30,4,9.14,2:01.52,6,9.70,2:02.25,5,9.31,2:02.02
1,9.12,2:10.47,3,9.30,2:10.67,2,9.32,2:10.62,4,9.30,2:10.82,6,10.38,2:12.63,5,9.58,2:11.60
1,9.03,2:19.50,4,9.46,2:20.13,2,9.16,2:19.78,3,9.11,2:19.93,6,11.54,2:24.17,5,9.89,2:21.49
1,9.24,2:28.74,4,9.59,2:29.72,2,9.31,2:29.09,3,9.33,2:29.26,6,12.34,2:36.51,5,10.41,2:31.90
