Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,12.84,12.84,2,12.86,12.86,3,13.03,13.03,4,13.17,13.17
2,9.59,22.43,1,9.47,22.33,3,9.41,22.44,4,9.45,22.62
3,9.27,31.70,1,9.18,31.51,2,9.15,31.59,4,9.21,31.83
3,9.01,40.71,1,9.06,40.57,2,9.08,40.67,4,9.02,40.85
2,8.70,49.41,1,8.77,49.34,3,8.89,49.56,4,8.77,49.62
1,8.81,58.22,3,8.99,58.33,4,8.87,58.43,2,8.64,58.26
3,25.62,1:23.84,1,9.77,1:08.10,2,9.79,1:08.22,4,30.36,1:28.62
3,17.11,1:40.95,1,9.91,1:18.01,2,10.00,1:18.22,4,17.68,1:46.30
2,15.96,1:56.903,0,,PEN,1,9.81,1:28.028,3,14.05,2:00.349
