Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME
2,12.58,12.58,3,12.61,12.61,4,12.77,12.77,6,13.04,13.04,1,12.49,12.49,5,12.90,12.90
4,9.84,22.42,2,9.57,22.18,3,9.51,22.28,6,9.61,22.65,1,9.60,22.09,5,9.62,22.52
4,9.51,31.93,2,9.52,31.70,3,9.53,31.81,5,9.39,32.04,1,9.53,31.62,6,9.61,32.13
4,9.31,41.24,2,9.37,41.07,3,9.33,41.14,5,9.31,41.35,1,9.36,40.98,6,9.30,41.43
5,9.38,50.62,1,9.21,50.28,3,9.35,50.49,4,9.23,50.58,2,9.31,50.29,6,9.37,50.80
5,9.05,59.67,1,8.92,59.20,3,8.96,59.45,4,8.98,59.56,2,9.00,59.29,6,9.00,59.80
5,8.82,1:08.49,1,9.00,1:08.20,3,8.94,1:08.39,4,8.90,1:08.46,2,8.97,1:08.26,6,8.90,1:08.70
4,9.16,1:17.65,1,9.17,1:17.37,3,9.15,1:17.54,5,9.27,1:17.73,2,9.18,1:17.44,6,9.15,1:17.85
4,9.26,1:26.917,1,9.28,1:26.65,3,9.27,1:26.81,5,9.21,1:26.943,2,9.31,1:26.75,6,9.26,1:27.113
