Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
1,7.53,7.53,2,7.67,7.67,3,7.77,7.77,5,8.06,8.06,4,7.88,7.88
2,9.97,17.50,1,9.82,17.49,3,9.85,17.62,5,9.76,17.82,4,9.85,17.73
2,9.58,27.08,1,9.51,27.00,4,9.77,27.39,5,9.65,27.47,3,9.47,27.20
2,9.68,36.76,1,9.67,36.67,4,9.58,36.97,5,9.52,36.99,3,9.59,36.79
2,9.53,46.287,1,9.60,46.261,4,10.64,47.610,0,,PEN,3,9.73,46.514
