Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
4,10.09,10.09,2,9.90,9.90,6,10.38,10.38,5,10.25,10.25,1,9.86,,3,10.07,10.07,7,10.54,10.54
4,13.50,23.59,2,13.39,23.29,6,13.44,23.82,5,13.44,23.69,1,13.28,,3,13.38,23.45,7,13.41,23.95
4,11.84,35.43,2,11.91,35.20,6,11.88,35.70,5,11.87,35.56,1,11.95,,3,11.89,35.34,7,11.87,35.82
4,11.73,47.16,2,11.75,46.95,6,11.83,47.53,5,11.77,47.33,1,11.75,,3,11.72,47.06,7,11.76,47.58
4,11.50,58.66,3,11.56,58.51,6,11.35,58.88,5,11.43,58.76,1,11.54,,2,11.42,58.48,7,11.42,59.00
5,10.46,1:09.12,1,10.24,1:08.75,6,10.43,1:09.31,4,10.28,1:09.04,2,10.47,,3,10.50,1:08.98,7,10.45,1:09.45
5,9.59,1:18.71,2,9.62,1:18.37,6,9.53,1:18.84,3,9.41,1:18.45,1,9.44,,4,9.60,1:18.58,7,9.50,1:18.95
5,9.29,1:28.00,1,9.25,1:27.62,6,9.37,1:28.21,3,9.29,1:27.74,2,9.34,,4,9.32,1:27.90,7,9.37,1:28.32
5,9.30,1:37.30,1,9.19,1:36.81,6,9.47,1:37.68,3,9.25,1:36.99,2,9.26,,4,9.24,1:37.14,7,9.46,1:37.78
5,9.28,1:46.58,1,9.22,1:46.03,7,10.43,1:48.11,3,9.23,1:46.22,2,9.20,,4,9.20,1:46.34,6,9.55,1:47.33
5,9.21,1:55.79,1,9.24,1:55.27,7,10.75,1:58.86,3,9.20,1:55.42,2,9.23,,4,9.20,1:55.54,6,10.13,1:57.46
5,9.33,2:05.12,1,9.36,2:04.63,7,11.44,2:10.30,3,9.32,2:04.74,2,9.39,,4,9.35,2:04.89,6,10.69,2:08.15
4,9.69,2:14.81,5,10.60,2:15.23,7,12.06,2:22.36,1,9.33,2:14.07,3,9.73,,2,9.53,2:14.42,6,11.04,2:19.19
4,10.07,2:24.88,5,11.49,2:26.72,7,12.70,2:35.06,1,9.73,2:23.80,3,9.79,,2,9.62,2:24.04,6,11.77,2:30.96
