NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,11.06,11.06,5,11.67,11.67,3,11.37,11.37,2,11.14,11.14,4,11.45,11.45,6,11.79,11.79
1,15.11,26.17,5,15.15,26.82,3,15.07,26.44,2,15.15,26.29,4,15.17,26.62,6,15.24,27.03
1,13.96,40.13,5,13.90,40.72,3,13.95,40.39,2,13.97,40.26,4,13.96,40.58,6,13.87,40.90
1,13.16,53.29,5,13.05,53.77,3,13.13,53.52,2,13.12,53.38,4,13.07,53.65,6,13.07,53.97
1,11.34,1:04.63,5,11.31,1:05.08,4,11.37,1:04.89,2,11.34,1:04.72,3,11.09,1:04.74,6,11.29,1:05.26
2,10.12,1:14.75,5,10.08,1:15.16,4,10.11,1:15.00,1,9.99,1:14.71,3,10.17,1:14.91,6,10.02,1:15.28
1,10.01,1:24.76,5,9.98,1:25.14,4,10.02,1:25.02,2,10.14,1:24.85,2,9.94,1:24.85,6,9.96,1:25.24
2,10.19,1:34.95,5,10.06,1:35.20,4,10.09,1:35.11,3,10.14,1:34.99,1,9.87,1:34.72,6,10.15,1:35.39
3,9.83,1:44.78,5,9.68,1:44.88,4,9.75,1:44.86,2,9.63,1:44.62,1,9.80,1:44.52,6,9.66,1:45.05
3,9.68,1:54.46,4,9.65,1:54.53,5,9.70,1:54.56,2,9.65,1:54.27,1,9.72,1:54.24,6,9.65,1:54.70
3,9.80,2:04.26,5,9.90,2:04.43,4,9.79,2:04.35,2,9.77,2:04.04,1,9.71,2:03.95,6,9.86,2:04.56
3,9.67,2:13.93,4,9.59,2:14.02,5,9.80,2:14.15,2,9.69,2:13.73,1,9.66,2:13.61,6,9.67,2:14.23
3,9.75,2:23.68,4,9.72,2:23.74,5,9.79,2:23.94,2,9.78,2:23.51,1,9.82,2:23.43,6,9.73,2:23.96
3,9.77,2:33.436,4,9.87,2:33.592,6,10.16,2:34.085,2,9.77,2:33.286,1,9.82,2:33.237,5,9.73,2:33.682
