CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME
2,11.95,11.95,3,12.31,12.31,1,11.92,11.92,4,12.43,12.43
1,9.08,21.03,3,9.10,21.42,2,9.11,21.03,4,9.22,21.66
1,8.79,29.83,3,9.02,30.44,4,9.51,30.55,2,8.75,30.42
1,8.74,38.57,4,9.61,40.05,2,8.20,38.75,3,9.40,39.83
1,9.04,47.62,4,9.41,49.46,2,8.87,47.63,3,9.03,48.86
2,9.15,56.78,4,9.38,58.85,1,9.07,56.70,3,8.87,57.73
2,9.24,1:06.02,4,9.04,1:07.89,1,9.15,1:05.86,3,9.14,1:06.88
1,8.79,1:14.81,4,9.01,1:16.90,2,8.96,1:14.82,3,8.89,1:15.78
1,8.85,1:23.66,4,9.12,1:26.03,2,8.92,1:23.74,3,8.70,1:24.48
1,8.72,1:32.39,4,9.55,1:35.59,2,8.79,1:32.54,3,9.51,1:33.99
2,9.08,1:41.47,4,9.50,1:45.09,1,8.90,1:41.44,3,9.18,1:43.18
1,9.06,1:50.54,4,9.53,1:54.63,2,9.23,1:50.68,3,9.37,1:52.55
1,8.99,1:59.53,4,9.67,2:04.30,2,8.86,1:59.54,3,9.08,2:01.64
1,9.03,2:08.56,4,9.42,2:13.72,2,9.08,2:08.63,3,9.24,2:10.88
2,8.90,2:17.46,4,9.28,2:23.00,1,8.79,2:17.42,3,9.05,2:19.93
1,8.83,2:26.30,4,9.90,2:32.90,2,8.97,2:26.40,3,9.50,2:29.43
1,9.08,2:35.38,4,9.88,2:42.78,2,9.15,2:35.55,3,9.32,2:38.75
2,9.08,2:44.47,4,9.98,2:52.77,1,8.74,2:44.30,3,9.38,2:48.13
1,9.01,2:53.48,4,9.30,3:02.08,2,9.20,2:53.50,3,9.09,2:57.23
1,8.82,3:02.31,4,9.55,3:11.63,2,8.96,3:02.46,3,9.04,3:06.27
1,9.05,3:11.36,4,9.22,3:20.86,2,9.06,3:11.52,3,9.33,3:15.61
1,8.92,3:20.28,4,9.72,3:30.59,2,9.19,3:20.71,3,9.53,3:25.14
1,9.03,3:29.32,4,9.42,3:40.01,2,9.01,3:29.73,3,9.38,3:34.52
1,8.89,3:38.21,4,9.91,3:49.93,2,8.93,3:38.66,3,9.18,3:43.70
1,9.08,3:47.30,4,9.48,3:59.41,2,9.15,3:47.81,3,9.36,3:53.06
1,9.05,3:56.35,4,9.44,4:08.86,2,9.09,3:56.91,3,9.20,4:02.26
1,8.82,4:05.18,4,9.53,4:18.39,2,8.92,4:05.84,3,9.46,4:11.73
1,8.87,4:14.06,4,9.91,4:28.31,2,9.06,4:14.90,3,9.45,4:21.18
1,9.01,4:23.08,4,9.78,4:38.10,2,9.23,4:24.14,3,9.45,4:30.63
1,9.03,4:32.11,4,10.15,4:48.25,2,9.30,4:33.44,3,9.22,4:39.86
1,9.10,4:41.21,4,9.57,4:57.82,2,9.28,4:42.73,3,9.74,4:49.60
1,9.18,4:50.39,4,9.61,5:07.44,2,9.22,4:51.95,3,9.59,4:59.20
1,8.85,4:59.24,4,9.69,5:17.14,2,9.25,5:01.21,3,9.79,5:08.99
1,9.36,5:08.61,4,9.71,5:26.85,2,9.26,5:10.47,3,9.67,5:18.66
1,9.26,5:17.87,4,10.00,5:36.85,2,9.31,5:19.78,3,9.84,5:28.50
1,9.17,5:27.05,4,10.17,5:47.02,2,9.19,5:28.97,3,9.42,5:37.92
1,9.20,5:36.25,4,9.52,5:56.55,2,9.64,5:38.61,3,9.55,5:47.48
1,9.15,5:45.40,4,9.91,6:06.46,2,9.19,5:47.81,3,9.48,5:56.96
1,9.13,5:54.54,4,9.71,6:16.18,2,9.40,5:57.22,3,9.20,6:06.17
1,9.26,6:03.81,4,10.12,6:26.30,2,9.61,6:06.83,3,9.96,6:16.13
1,9.75,6:13.56,4,10.12,6:36.43,2,9.61,6:16.45,3,9.90,6:26.04
1,9.57,6:23.14,4,10.23,6:46.66,2,9.78,6:26.23,3,9.31,6:35.35
1,9.34,6:32.48,4,9.81,6:56.48,2,9.77,6:36.00,3,9.70,6:45.05
1,9.33,6:41.82,4,9.66,7:06.15,2,9.30,6:45.31,3,9.41,6:54.46
1,9.61,6:51.422,4,10.22,7:16.362,2,10.05,6:55.356,3,9.87,7:04.327
