HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
3,14.20,14.20,4,14.41,14.41,1,13.92,13.92,2,14.07,14.07
3,10.09,24.29,4,10.04,24.45,1,10.12,24.04,2,10.11,24.18
3,9.49,33.78,4,9.52,33.97,1,9.56,33.60,2,9.52,33.70
2,9.18,42.96,4,9.23,43.20,1,9.24,42.84,3,9.27,42.97
2,8.91,51.87,4,8.83,52.03,1,8.86,51.70,3,8.93,51.90
2,9.01,1:00.88,4,9.09,1:01.12,1,9.11,1:00.81,3,9.08,1:00.98
1,8.92,1:09.80,4,9.01,1:10.13,2,9.07,1:09.88,3,8.96,1:09.94
1,9.11,1:18.91,4,9.17,1:19.30,2,9.09,1:18.97,3,9.11,1:19.05
3,28.98,1:47.886,2,10.32,1:29.619,0,,PEN,1,9.54,1:28.588
