J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME
2,6.95,6.95,3,7.04,7.04,1,6.80,6.80,4,7.22,7.22
2,8.77,15.72,3,8.78,15.82,1,8.84,15.64,4,8.79,16.01
3,8.48,24.20,2,8.28,24.10,1,8.37,24.01,4,8.37,24.38
3,8.50,32.70,2,8.49,32.59,1,8.50,32.51,4,8.41,32.79
3,8.66,41.359,2,8.59,41.179,1,8.64,41.145,4,8.66,41.443
