Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
2,7.73,7.73,1,7.60,7.60,5,8.12,8.12,4,7.92,7.92,3,7.76,7.76
2,9.65,17.38,1,9.60,17.20,5,9.97,18.09,4,9.75,17.67,3,9.72,17.48
2,9.01,26.39,1,9.10,26.30,5,9.27,27.36,4,9.37,27.04,3,9.02,26.50
3,9.27,35.66,1,9.14,35.44,4,9.32,36.68,5,9.65,36.69,2,9.05,35.55
3,9.34,44.993,1,9.28,44.702,4,9.65,46.311,5,10.05,46.731,2,9.31,44.836
