Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,6.85,6.85,2,6.97,6.97,4,7.20,7.20,2,6.97,6.97,5,7.29,7.29
1,8.77,15.62,2,8.73,15.70,4,8.89,16.09,3,8.74,15.71,5,8.97,16.26
2,8.47,24.09,1,8.29,23.99,4,8.33,24.42,3,8.51,24.22,5,8.45,24.71
2,8.36,32.45,1,8.41,32.40,4,8.40,32.82,3,8.37,32.59,5,8.50,33.21
2,8.63,41.08,1,8.58,40.98,4,8.71,41.517,3,8.55,41.131,5,8.67,41.873
