Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
1,6.822,6.822,2,6.967,6.967,4,7.375,7.375,3,7.235,7.235
1,9.255,16.077,2,9.179,16.145,4,9.230,16.604,3,9.157,16.392
2,9.122,25.198,1,8.834,24.979,4,8.917,25.521,3,8.828,25.219
3,9.232,34.429,1,9.235,34.214,4,8.926,34.447,2,9.168,34.387
3,9.33,43.759,2,9.48,43.689,4,9.55,43.996,1,9.21,43.596
