HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,8.41,8.41,3,8.75,8.75,4,8.92,8.92,2,8.59,8.59,5,9.09,9.09,7,9.40,9.40,6,9.24,9.24
1,11.93,20.34,3,11.84,20.59,4,11.81,20.73,2,11.87,20.46,5,11.81,20.90,7,11.78,21.18,6,11.77,21.01
1,11.03,31.37,4,11.00,31.59,5,11.00,31.73,3,11.03,31.49,7,11.06,31.96,2,10.24,31.42,6,10.81,31.82
1,10.23,41.60,4,10.30,41.89,5,10.23,41.96,3,10.32,41.81,6,10.11,42.07,2,10.29,41.71,7,10.25,42.07
2,10.00,51.60,5,9.99,51.88,6,10.04,52.00,4,10.00,51.81,1,9.48,51.55,3,10.01,51.72,7,10.09,52.16
2,9.61,1:01.21,5,9.57,1:01.45,6,9.58,1:01.58,3,9.47,1:01.28,1,9.59,1:01.14,4,9.60,1:01.32,7,9.57,1:01.73
1,9.79,1:11.00,3,9.62,1:11.07,6,9.81,1:11.39,4,9.90,1:11.18,2,9.88,1:11.02,5,9.95,1:11.27,7,9.74,1:11.47
1,9.48,1:20.48,2,9.51,1:20.58,6,9.60,1:20.99,4,9.62,1:20.80,3,9.62,1:20.64,5,9.60,1:20.87,7,9.74,1:21.21
1,9.62,1:30.10,3,9.79,1:30.37,6,9.74,1:30.73,4,9.68,1:30.48,2,9.58,1:30.22,5,9.72,1:30.59,7,9.87,1:31.08
1,9.71,1:39.81,3,9.66,1:40.03,6,9.59,1:40.32,4,9.67,1:40.15,2,9.68,1:39.90,5,9.66,1:40.25,7,10.52,1:41.60
1,9.61,1:49.42,3,9.61,1:49.64,6,9.71,1:50.03,4,9.65,1:49.80,2,9.65,1:49.55,5,9.56,1:49.81,7,10.88,1:52.48
2,9.68,1:59.10,4,9.69,1:59.33,5,9.61,1:59.64,6,10.55,2:00.35,1,9.43,1:58.98,3,9.50,1:59.31,7,11.43,2:03.91
2,9.53,2:08.63,4,9.83,2:09.16,5,9.66,2:09.30,6,11.71,2:12.06,1,9.50,2:08.48,3,9.43,2:08.74,7,12.18,2:16.09
2,9.54,2:18.165,4,9.48,2:18.640,5,10.15,2:19.448,6,13.20,2:25.251,1,9.59,2:18.070,3,9.48,2:18.212,7,13.98,2:30.067
