PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Shaun COBURN POSITION,Shaun COBURN LAP TIME,Shaun COBURN ELAPSED TIME
3,7.13,7.13,2,7.00,7.00,1,6.73,6.73,4,7.28,7.28,5,7.89,7.89
2,8.96,16.09,3,9.17,16.17,1,9.10,15.83,4,9.15,16.43,5,10.18,18.07
2,8.50,24.59,3,8.65,24.82,1,8.70,24.53,4,8.66,25.09,5,10.22,28.29
1,8.65,33.24,3,8.58,33.40,2,8.79,33.32,4,8.70,33.79,5,10.61,38.90
1,8.95,42.187,3,9.20,42.595,2,9.01,42.323,4,8.82,42.607,5,10.84,49.734
