CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
1,12.16,12.16,2,12.28,12.28,3,12.60,12.60
1,9.37,21.53,2,9.35,21.63,3,9.14,21.74
1,9.09,30.62,3,9.46,31.09,2,9.02,30.76
1,9.17,39.79,2,9.59,40.68,3,9.98,40.74
1,9.24,49.03,3,8.92,49.60,2,8.41,49.15
3,10.51,59.54,2,9.25,58.85,1,9.28,58.43
1,8.09,1:07.63,3,9.17,1:08.02,2,9.34,1:07.77
1,9.02,1:16.65,3,9.21,1:17.23,2,8.99,1:16.76
1,9.08,1:25.73,3,9.42,1:26.65,2,9.11,1:25.87
1,9.09,1:34.82,3,9.37,1:36.02,2,9.27,1:35.14
1,9.20,1:44.02,3,9.16,1:45.18,2,8.99,1:44.13
1,9.13,1:53.15,3,9.42,1:54.60,2,9.16,1:53.29
1,9.13,2:02.28,3,9.16,2:03.76,2,9.10,2:02.39
1,9.05,2:11.33,3,9.32,2:13.08,2,9.03,2:11.42
1,8.97,2:20.30,3,9.43,2:22.51,2,9.01,2:20.43
1,9.16,2:29.46,3,9.58,2:32.09,2,9.52,2:29.95
1,8.78,2:38.24,3,9.34,2:41.43,2,8.87,2:38.82
1,9.33,2:47.57,3,9.59,2:51.02,2,9.09,2:47.91
1,9.14,2:56.71,3,9.33,3:00.35,2,9.18,2:57.09
1,8.98,3:05.69,3,9.38,3:09.73,2,8.72,3:05.81
1,8.97,3:14.66,3,9.61,3:19.34,2,9.01,3:14.82
1,9.20,3:23.86,3,9.75,3:29.09,2,9.18,3:24.00
2,9.24,3:33.10,3,9.46,3:38.55,1,8.90,3:32.90
1,9.23,3:42.33,3,9.81,3:48.36,2,10.38,3:43.28
1,9.17,3:51.50,3,9.59,3:57.95,2,8.37,3:51.65
1,8.95,4:00.45,3,9.95,4:07.90,2,8.88,4:00.53
1,8.99,4:09.440,3,9.87,4:17.766,2,9.01,4:09.532
