Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME
3,9.45,42.11,1,9.62,41.94,4,9.35,42.16,2,9.64,41.97
3,9.59,51.70,2,9.66,51.61,4,9.63,51.80,1,9.58,51.55
3,9.61,1:01.32,2,9.56,1:01.17,4,9.59,1:01.39,1,9.57,1:01.13
2,9.64,1:10.96,1,9.63,1:10.81,3,9.65,1:11.05,4,10.00,1:11.13
2,9.61,1:20.58,1,9.43,1:20.24,3,9.80,1:20.85,4,10.35,1:21.49
1,9.67,1:30.246,2,10.31,1:30.542,3,10.29,1:31.140,4,10.69,1:32.172
