Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Alexander SEKISOV POSITION,Alexander SEKISOV LAP TIME,Alexander SEKISOV ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
3,12.986,12.986,4,13.166,13.166,1,12.871,12.871,2,12.871,12.871
3,9.968,22.953,4,9.953,23.119,1,9.800,22.670,2,9.924,22.794
3,10.205,33.157,4,10.211,33.329,2,10.307,32.977,1,10.179,32.973
2,10.009,43.166,4,9.950,43.279,1,9.963,42.940,3,10.277,43.250
2,9.679,52.844,4,9.694,52.972,1,9.708,52.647,3,9.702,52.951
1,9.596,1:02.440,4,9.602,1:02.573,2,9.892,1:02.539,3,9.594,1:02.545
1,9.280,1:11.719,2,9.446,1:12.018,4,9.698,1:12.237,3,9.520,1:12.065
1,9.472,1:21.191,4,10.048,1:22.066,3,9.734,1:21.970,2,9.843,1:21.908
1,10.02,1:31.205,3,10.20,1:32.257,2,9.98,1:31.945,4,10.55,1:32.450
