Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Joshua MARDEN POSITION,Joshua MARDEN LAP TIME,Joshua MARDEN ELAPSED TIME,Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME
1,7.470,7.470,2,7.820,7.820,5,8.447,8.447,4,8.041,8.041,3,7.967,7.967
1,10.369,17.838,2,10.119,17.938,5,10.195,18.642,4,10.327,18.368,3,10.232,18.199
1,10.116,27.954,2,10.133,28.070,5,9.879,28.521,4,10.036,28.403,3,10.087,28.286
1,10.465,38.419,2,10.651,38.720,5,10.451,38.971,4,10.491,38.894,3,10.529,38.815
1,10.755,49.173,2,10.612,49.332,5,10.716,49.686,4,10.650,49.544,3,10.689,49.504
1,10.788,59.961,2,10.751,1:00.082,5,10.756,1:00.441,4,10.752,1:00.295,3,10.583,1:00.086
1,10.767,1:10.727,2,10.703,1:10.785,5,10.874,1:11.315,4,10.911,1:11.206,3,10.963,1:11.049
2,10.295,1:21.021,1,10.026,1:20.810,5,10.284,1:21.598,4,10.178,1:21.384,3,10.073,1:21.122
2,10.167,1:31.188,1,10.205,1:31.014,5,10.142,1:31.740,4,10.156,1:31.540,3,10.203,1:31.324
2,10.148,1:41.336,1,10.121,1:41.135,5,10.285,1:42.025,4,10.129,1:41.668,3,10.211,1:41.535
2,10.068,1:51.403,1,10.001,1:51.136,5,10.365,1:52.389,4,10.230,1:51.898,3,10.036,1:51.570
2,9.851,2:01.254,1,9.945,2:01.080,5,10.559,2:02.947,4,10.235,2:02.133,3,9.909,2:01.478
2,9.830,2:11.083,1,9.876,2:10.955,5,10.804,2:13.751,4,10.327,2:12.460,3,9.762,2:11.240
3,10.26,2:21.341,2,10.20,2:21.152,5,11.06,2:24.803,4,10.88,2:23.338,1,9.57,2:20.808
