BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Boren ZUNAC POSITION,Boren ZUNAC LAP TIME,Boren ZUNAC ELAPSED TIME
1,6.81,6.81,2,7.03,7.03,3,7.20,7.20,4,7.40,7.40
1,9.64,16.45,2,9.52,16.55,3,9.54,16.74,4,10.01,17.41
2,9.21,25.66,1,8.83,25.38,3,9.12,25.86,4,9.63,27.04
2,9.32,34.98,1,8.96,34.34,3,9.24,35.10,4,9.85,36.89
2,9.72,44.695,1,9.28,43.613,3,9.79,44.885,4,10.11,46.999
