Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,Anna BEISER POSITION,Anna BEISER LAP TIME,Anna BEISER ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,DALRYMPLE Georgie POSITION,DALRYMPLE Georgie LAP TIME,DALRYMPLE Georgie ELAPSED TIME,Anja OBRADOVIC POSITION,Anja OBRADOVIC LAP TIME,Anja OBRADOVIC ELAPSED TIME
2,10.26,10.26,1,10.15,10.15,3,10.27,10.27,4,10.39,10.39,5,10.40,10.40,6,10.55,10.55
4,15.34,25.60,2,15.14,25.29,3,15.17,25.44,5,15.33,25.72,1,14.79,25.19,6,15.31,25.86
3,12.66,38.26,2,12.88,38.17,4,12.84,38.28,5,12.74,38.46,1,12.86,38.05,6,12.76,38.62
2,12.16,50.42,3,12.36,50.53,5,12.37,50.65,4,12.13,50.59,1,12.25,50.30,6,12.20,50.82
3,11.58,1:02.00,1,11.31,1:01.84,5,11.58,1:02.23,4,11.54,1:02.13,1,11.54,1:01.84,6,11.52,1:02.34
1,10.99,1:12.99,2,11.27,1:13.11,5,11.17,1:13.40,4,11.16,1:13.29,3,11.33,1:13.17,6,11.22,1:13.56
1,11.70,1:24.69,1,11.58,1:24.69,4,11.43,1:24.83,5,11.56,1:24.85,3,11.56,1:24.73,6,11.44,1:25.00
3,10.44,1:35.13,2,10.32,1:35.01,5,10.63,1:35.46,4,10.52,1:35.37,1,10.12,1:34.85,6,11.17,1:36.17
3,10.02,1:45.15,2,10.02,1:45.03,5,10.05,1:45.51,4,9.99,1:45.36,1,10.06,1:44.91,6,11.92,1:48.09
3,10.15,1:55.30,1,10.08,1:55.11,5,10.10,1:55.61,4,10.10,1:55.46,2,10.30,1:55.21,6,12.82,2:00.91
3,10.29,2:05.59,1,10.31,2:05.42,5,10.40,2:06.01,4,10.42,2:05.88,2,10.29,2:05.50,6,13.25,2:14.16
3,10.41,2:16.00,1,10.35,2:15.77,4,10.43,2:16.44,5,10.87,2:16.75,2,10.41,2:15.91,6,14.27,2:28.43
3,10.59,2:26.59,1,10.53,2:26.30,4,10.27,2:26.71,5,11.52,2:28.27,2,10.55,2:26.46,6,13.53,2:41.96
4,11.02,2:37.591,2,,2:37.211,1,,2:37.207,5,12.21,2:40.451,3,11.03,2:37.472,6,13.67,2:55.608
