Mikkel K ORITSLAND POSITION,Mikkel K ORITSLAND LAP TIME,Mikkel K ORITSLAND ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
1,9.21,9.21,3,9.37,9.37,2,9.22,9.22,5,9.78,9.78,6,9.98,9.98,4,9.59,9.59
3,12.47,21.68,4,12.43,21.80,2,12.34,21.56,1,11.70,21.48,5,11.94,21.92,6,12.38,21.97
4,11.42,33.10,5,11.42,33.22,1,11.26,32.82,3,11.46,32.94,2,11.00,32.92,6,11.39,33.36
4,10.69,43.79,5,10.73,43.95,1,10.67,43.49,2,10.64,43.58,3,10.75,43.67,6,10.75,44.11
4,10.73,54.52,5,10.69,54.64,1,10.60,54.09,2,10.66,54.24,3,10.70,54.37,6,10.64,54.75
5,10.27,1:04.79,3,10.00,1:04.64,2,10.37,1:04.46,1,10.21,1:04.45,4,10.29,1:04.66,6,10.18,1:04.93
5,9.87,1:14.66,4,9.87,1:14.51,1,9.75,1:14.21,2,9.78,1:14.23,3,9.69,1:14.35,6,9.85,1:14.78
5,9.87,1:24.53,3,9.44,1:23.95,1,9.67,1:23.88,2,9.72,1:23.95,4,9.75,1:24.10,6,9.88,1:24.66
5,9.98,1:34.51,1,9.85,1:33.80,4,10.22,1:34.10,3,10.05,1:34.00,2,9.83,1:33.93,6,9.98,1:34.64
5,10.09,1:44.60,1,9.85,1:43.65,4,9.86,1:43.96,2,9.76,1:43.76,3,9.86,1:43.79,6,10.15,1:44.79
5,10.36,1:54.96,1,9.33,1:52.98,3,9.33,1:53.29,2,9.36,1:53.12,4,9.51,1:53.30,6,10.34,1:55.13
5,10.64,2:05.60,1,9.17,2:02.15,3,9.05,2:02.34,2,9.12,2:02.24,4,9.35,2:02.65,6,10.64,2:05.77
5,11.03,2:16.63,1,9.17,2:11.32,3,9.14,2:11.48,2,9.15,2:11.39,4,9.54,2:12.19,6,11.18,2:16.95
4,11.35,2:27.974,1,9.31,2:20.623,2,9.21,2:20.687,0,,PEN,3,9.95,2:22.137,5,11.44,2:28.389
