HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
2,12.54,12.54,4,12.83,12.83,3,12.69,12.69,5,12.98,12.98,1,12.41,12.41
2,9.58,22.12,4,9.44,22.27,3,9.53,22.22,5,9.45,22.43,1,9.69,22.10
2,8.98,31.10,4,9.00,31.27,1,8.79,31.01,5,8.97,31.40,3,9.08,31.18
2,9.03,40.13,4,9.11,40.38,1,9.09,40.10,5,9.12,40.52,3,9.07,40.25
1,8.50,48.63,4,8.65,49.03,2,8.69,48.79,5,8.59,49.11,3,8.63,48.88
1,8.57,57.20,4,8.35,57.38,3,8.58,57.37,5,8.45,57.56,2,8.39,57.27
2,8.63,1:05.83,3,8.58,1:05.96,4,8.68,1:06.05,5,8.56,1:06.12,1,8.43,1:05.70
2,8.61,1:14.44,3,8.57,1:14.53,5,8.59,1:14.64,4,8.48,1:14.60,1,8.62,1:14.32
3,8.79,1:23.23,0,8.86,1:23.39,0,8.78,1:23.42,2,8.55,1:23.15,1,8.69,1:23.01
