Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,13.38,13.38,3,13.46,13.46,4,13.55,13.55,2,13.39,13.39
1,9.96,23.34,3,10.07,23.52,4,10.05,23.60,2,10.05,23.44
1,10.35,33.69,2,10.27,33.79,4,10.28,33.88,3,10.36,33.80
2,9.73,43.42,1,9.53,43.32,4,9.64,43.52,3,9.69,43.49
1,9.22,52.64,2,9.37,52.69,4,9.65,53.17,3,9.52,53.01
1,9.05,1:01.69,2,9.12,1:01.81,4,9.13,1:02.30,3,8.90,1:01.91
1,8.92,1:10.61,2,8.91,1:10.72,4,9.08,1:11.38,3,8.84,1:10.75
2,9.02,1:19.63,3,9.15,1:19.87,4,9.57,1:20.95,1,8.87,1:19.62
2,9.12,1:28.742,3,9.46,1:29.327,4,10.42,1:31.365,1,9.01,1:28.623
