Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Mike KOOREMAN POSITION,Mike KOOREMAN LAP TIME,Mike KOOREMAN ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,12.992,12.992,3,13.145,13.145,1,12.856,12.856,4,13.258,13.258
3,9.862,22.853,1,9.542,22.686,4,10.052,22.907,2,9.592,22.849
4,9.492,32.345,2,9.269,31.954,3,9.387,32.294,1,9.094,31.943
4,9.160,41.504,2,9.339,41.293,3,9.165,41.459,1,9.274,41.216
2,9.180,50.684,1,9.186,50.479,4,9.395,50.853,3,9.472,50.687
3,9.120,59.803,1,9.185,59.663,4,9.181,1:00.034,2,8.986,59.673
2,9.090,1:08.893,3,9.325,1:08.988,4,9.096,1:09.129,1,9.073,1:08.745
2,9.059,1:17.951,3,9.162,1:18.150,4,9.182,1:18.311,1,9.122,1:17.866
1,9.29,1:27.240,3,9.62,1:27.767,4,9.52,1:27.822,2,9.46,1:27.320
