Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Vitali BAZYLENKO POSITION,Vitali BAZYLENKO LAP TIME,Vitali BAZYLENKO ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
6,10.400,10.400,3,9.940,9.940,5,10.107,10.107,4,10.054,10.054,1,9.549,9.549,2,9.914,9.914
6,15.458,25.857,2,15.278,25.217,4,15.525,25.631,5,15.716,25.769,1,15.602,25.151,3,15.674,25.587
6,15.181,41.038,1,15.096,40.313,4,14.990,40.620,5,14.982,40.751,2,15.218,40.369,3,14.900,40.487
6,12.707,53.745,1,12.739,53.051,4,12.776,53.395,5,12.758,53.509,2,12.809,53.177,3,12.781,53.267
6,12.727,1:06.472,2,12.942,1:05.993,4,12.801,1:06.196,5,12.908,1:06.416,1,12.705,1:05.882,3,12.829,1:06.095
6,12.464,1:18.935,2,12.330,1:18.323,4,12.370,1:18.565,5,12.314,1:18.729,1,12.243,1:18.124,3,12.398,1:18.492
6,11.554,1:30.489,3,11.778,1:30.101,5,11.692,1:30.257,4,11.455,1:30.184,1,11.761,1:29.884,2,11.491,1:29.983
6,10.348,1:40.836,2,10.235,1:40.336,5,10.361,1:40.618,1,9.885,1:40.068,3,10.488,1:40.371,4,10.504,1:40.486
6,10.044,1:50.879,2,10.113,1:50.448,5,10.076,1:50.693,1,10.169,1:50.237,3,10.160,1:50.531,4,10.057,1:50.542
6,10.296,2:01.174,2,10.211,2:00.658,5,10.240,2:00.933,1,10.308,2:00.544,3,10.286,2:00.816,4,10.346,2:00.888
6,9.966,2:11.140,2,10.104,2:10.762,4,9.937,2:10.870,1,10.020,2:10.564,5,10.233,2:11.049,3,9.973,2:10.861
4,9.626,2:20.766,2,9.690,2:20.451,3,9.681,2:20.550,1,9.659,2:20.223,6,10.507,2:21.555,5,10.019,2:20.879
5,10.007,2:30.772,2,9.738,2:30.189,3,9.954,2:30.504,1,9.763,2:29.986,6,10.737,2:32.292,4,9.810,2:30.688
3,10.43,2:41.199,2,10.02,2:40.203,0,,DQ,1,10.05,2:40.029,4,12.04,2:44.326,0,,DQ
