Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME
2,7.02,7.02,3,7.14,7.14,1,6.80,6.80,4,7.25,,5,7.37,7.37
2,9.04,16.06,3,9.03,16.17,1,8.79,15.59,4,9.02,,5,9.19,16.56
2,8.47,24.53,3,8.40,24.57,1,8.44,24.03,4,8.39,,5,8.68,25.24
3,8.66,33.19,2,8.53,33.10,1,8.50,32.53,4,8.54,,5,8.77,34.01
3,9.05,42.24,5,26.79,59.89,1,8.72,41.25,2,8.92,,4,8.86,42.87
