Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
1,8.74,8.74,2,8.94,8.94,3,9.11,,5,9.27,9.27,4,9.26,9.26,7,9.57,9.57,6,9.42,9.42,8,9.72,9.72
1,11.69,20.43,3,11.62,20.56,4,11.60,,6,11.67,20.94,5,11.58,20.84,7,11.50,21.07,2,11.04,20.46,8,11.48,21.20
1,10.02,30.45,3,10.08,30.64,4,10.03,,6,9.98,30.92,5,9.99,30.83,7,9.95,31.02,2,10.01,30.47,8,9.95,31.15
1,9.83,40.28,3,9.82,40.46,4,9.79,,6,9.80,40.72,5,9.80,40.63,7,9.80,40.82,2,9.88,40.35,8,9.83,40.98
1,9.95,50.23,3,9.89,50.35,4,9.90,,6,9.97,50.69,5,9.98,50.61,7,9.99,50.81,2,9.97,50.32,8,10.00,50.98
2,9.29,59.52,1,9.06,59.41,3,9.18,,6,9.27,59.96,5,9.27,59.88,7,9.26,1:00.07,4,9.39,59.71,8,9.24,1:00.22
8,10.38,1:09.90,1,9.39,1:08.80,2,9.38,,5,9.28,1:09.24,4,9.28,1:09.16,6,9.28,1:09.35,3,9.33,1:09.04,7,9.24,1:09.46
8,9.33,1:19.23,1,9.65,1:18.45,2,9.56,,4,9.45,1:18.69,3,9.46,1:18.62,6,9.49,1:18.84,5,9.75,1:18.79,6,9.38,1:18.84
8,9.54,1:28.77,1,9.56,1:28.01,3,9.66,,5,9.69,1:28.38,4,9.68,1:28.30,2,9.18,1:28.02,6,9.73,1:28.52,7,9.82,1:28.66
8,9.24,1:38.01,2,9.35,1:37.36,3,9.35,,4,9.25,1:37.63,5,9.35,1:37.65,1,9.32,1:37.34,7,9.29,1:37.81,6,9.14,1:37.80
7,9.12,1:47.13,3,9.14,1:46.50,5,9.29,,1,8.77,1:46.40,4,9.17,1:46.82,2,9.13,1:46.47,8,9.52,1:47.33,6,9.19,1:46.99
7,9.13,1:56.26,3,9.20,1:55.70,6,9.38,,1,8.76,1:55.16,4,9.08,1:55.90,2,9.06,1:55.53,8,9.60,1:56.93,5,9.05,1:56.04
6,9.15,2:05.41,3,8.87,2:04.57,7,9.67,,1,8.89,2:04.05,5,9.16,2:05.06,2,8.86,2:04.39,8,10.27,2:07.20,4,9.00,2:05.04
6,9.48,2:14.89,3,9.04,2:13.61,7,10.36,,1,9.04,2:13.09,5,9.59,2:14.624,2,8.94,2:13.33,7,11.33,2:18.500,4,9.19,2:14.23
