BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
0,10.005,10.005,0,9.815,9.815,0,9.653,9.653,0,9.691,9.691,0,9.451,9.451
0,12.591,22.595,0,12.109,21.923,0,12.494,22.147,0,12.477,22.168,0,12.820,22.271
0,11.846,34.441,0,11.783,33.706,0,11.799,33.946,0,11.625,33.793,0,11.886,34.157
0,11.782,46.223,0,11.912,45.618,0,11.913,45.859,0,12.025,45.818,0,11.844,46.001
0,11.888,58.111,0,11.923,57.541,0,11.976,57.835,0,12.076,57.893,0,11.781,57.782
0,11.197,1:09.308,0,11.283,1:08.824,0,11.253,1:09.088,0,11.313,1:09.206,0,10.857,1:08.640
0,10.421,1:19.729,0,10.509,1:19.333,0,10.304,1:19.392,0,10.216,1:19.422,0,10.595,1:19.235
0,11.011,1:30.741,0,11.030,1:30.362,0,10.791,1:30.183,0,11.321,1:30.743,0,11.081,1:30.316
0,10.515,1:41.255,0,10.372,1:40.734,0,10.544,1:40.727,0,10.321,1:41.064,0,10.478,1:40.794
0,10.534,1:51.789,0,10.304,1:51.038,0,10.549,1:51.276,0,10.546,1:51.611,0,10.584,1:51.378
0,10.163,2:01.952,0,10.285,2:01.323,0,10.511,2:01.788,0,10.069,2:01.679,0,10.697,2:02.075
0,10.183,2:12.135,0,10.773,2:12.096,0,10.798,2:12.586,0,10.352,2:12.032,0,10.514,2:12.589
0,9.811,2:21.946,0,10.990,2:23.086,0,11.167,2:23.752,0,10.553,2:22.584,0,10.708,2:23.297
0,10.449,2:32.394,0,11.446,2:34.532,0,11.887,2:35.639,0,10.776,2:33.360,0,10.404,2:33.701
