de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,6.91,6.91,3,7.11,7.11,3,7.11,7.11,2,7.06,7.06
1,8.88,15.79,4,9.03,16.14,3,8.85,15.96,2,8.80,15.86
2,8.37,24.16,4,8.27,24.41,3,8.29,24.25,1,8.19,24.05
4,8.71,32.87,3,8.34,32.75,2,8.35,32.60,1,8.39,32.44
4,9.68,42.55,0,,PHOTO,0,,PHOTO,0,,PHOTO
