WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Nicolas LABORDE POSITION,Nicolas LABORDE LAP TIME,Nicolas LABORDE ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
2,7.05,7.05,1,6.82,6.82,4,7.29,7.29,4,7.29,7.29,3,7.13,7.13
2,9.00,16.05,1,9.10,15.92,5,22.90,30.19,4,9.32,16.61,3,9.10,16.23
1,8.57,24.62,2,8.82,24.74,5,21.68,51.87,4,8.92,25.53,3,8.52,24.75
1,8.77,33.39,3,8.90,33.64,5,13.50,1:05.37,4,9.13,34.66,2,8.76,33.51
1,8.96,42.342,3,8.94,42.571,5,11.67,1:17.018,4,9.34,43.993,2,8.94,42.437
