WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
3,13.28,13.28,4,13.44,13.44,2,13.10,13.10,1,12.90,12.90
3,9.75,23.03,4,9.82,23.26,2,9.78,22.88,1,9.87,22.77
3,9.55,32.59,4,9.37,32.63,2,9.53,32.42,1,9.57,32.35
3,9.78,42.38,4,9.91,42.54,2,9.82,42.24,1,9.82,42.17
2,9.49,51.87,4,9.55,52.10,1,9.40,51.65,3,9.73,51.91
2,9.46,1:01.34,4,9.43,1:01.53,1,9.51,1:01.16,3,9.45,1:01.36
2,9.35,1:10.69,4,9.54,1:11.07,1,9.46,1:10.63,3,9.54,1:10.90
1,9.35,1:20.04,4,9.98,1:21.05,2,9.54,1:20.17,3,9.62,1:20.53
1,9.75,1:29.786,4,10.35,1:31.400,2,9.81,1:29.980,3,10.31,1:30.832
