Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME
1,12.85,12.85,2,12.96,12.96,3,13.05,13.05,4,13.13,13.13
1,10.63,23.48,2,10.65,23.61,3,10.68,23.73,4,10.69,23.82
1,10.48,33.96,2,10.44,34.05,3,10.44,34.17,4,10.45,34.27
2,10.23,44.19,1,10.10,44.15,3,10.19,44.36,4,10.22,44.49
3,9.64,53.83,1,9.57,53.72,2,9.44,53.80,4,9.58,54.07
3,9.33,1:03.16,1,9.28,1:03.00,2,9.26,1:03.06,4,9.35,1:03.42
3,9.14,1:12.30,1,9.10,1:12.10,2,9.14,1:12.20,4,9.40,1:12.82
2,8.99,1:21.29,1,9.03,1:21.13,3,9.15,1:21.35,4,9.85,1:22.67
2,9.27,1:30.556,1,9.06,1:30.186,3,9.39,1:30.736,4,10.22,1:32.888
