KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
4,13.23,13.23,5,13.39,13.39,3,13.15,13.15,1,13.05,13.05,2,13.07,13.07
4,10.11,23.34,5,10.07,23.46,3,10.09,23.24,2,10.04,23.09,1,9.71,22.78
4,9.67,33.01,5,9.69,33.15,3,9.70,32.94,2,9.78,32.87,1,10.02,32.80
4,9.73,42.74,5,9.82,42.97,3,9.70,42.64,2,9.63,42.50,1,9.67,42.47
4,9.57,52.31,5,9.44,52.41,3,9.63,52.27,1,9.58,52.08,2,9.71,52.18
3,9.75,1:02.06,5,9.90,1:02.31,4,9.91,1:02.18,1,9.80,1:01.88,2,9.82,1:02.00
2,9.81,1:11.87,5,9.84,1:12.15,4,9.83,1:12.01,1,9.90,1:11.78,3,9.88,1:11.88
1,9.61,1:21.48,5,10.02,1:22.17,3,9.93,1:21.94,2,9.97,1:21.75,4,10.07,1:21.95
1,9.56,1:31.051,5,10.30,1:32.467,2,9.53,1:31.479,3,10.04,1:31.794,4,10.18,1:32.133
