Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Krystian KORECKI POSITION,Krystian KORECKI LAP TIME,Krystian KORECKI ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Matteo PEDRANZ POSITION,Matteo PEDRANZ LAP TIME,Matteo PEDRANZ ELAPSED TIME,MA Wei POSITION,MA Wei LAP TIME,MA Wei ELAPSED TIME
2,9.68,9.68,4,10.00,10.00,3,9.81,9.81,6,10.35,10.35,5,10.17,10.17,1,9.54,9.54,7,10.50,10.50
2,13.01,22.69,4,12.99,22.99,3,13.01,22.82,6,13.00,23.35,5,13.07,23.24,1,12.99,22.53,7,12.97,23.47
2,11.59,34.28,4,11.57,34.56,3,11.58,34.40,6,11.35,34.70,5,11.40,34.64,1,11.64,34.17,7,11.34,34.81
3,11.47,45.75,5,11.33,45.89,2,11.30,45.70,6,11.34,46.04,4,11.20,45.84,1,11.47,45.64,7,11.37,46.18
4,11.94,57.69,7,12.07,57.96,2,11.79,57.49,5,11.75,57.79,3,11.75,57.59,1,11.76,57.40,6,11.70,57.88
6,10.88,1:08.57,7,10.82,1:08.78,4,10.84,1:08.33,5,10.64,1:08.43,2,10.42,1:08.01,3,10.76,1:08.16,1,9.98,1:07.86
6,10.08,1:18.65,7,10.16,1:18.94,4,9.95,1:18.28,5,9.92,1:18.35,2,10.06,1:18.07,3,10.04,1:18.20,1,10.10,1:17.96
6,10.24,1:28.89,7,10.38,1:29.32,4,10.19,1:28.47,5,10.25,1:28.60,2,10.11,1:28.18,3,10.24,1:28.44,1,10.10,1:28.06
6,10.39,1:39.28,7,10.59,1:39.91,4,10.10,1:38.57,5,10.08,1:38.68,2,10.13,1:38.31,3,9.96,1:38.40,1,10.11,1:38.17
6,10.53,1:49.81,7,10.88,1:50.79,4,9.95,1:48.52,5,9.94,1:48.62,2,9.87,1:48.18,3,9.89,1:48.29,1,9.86,1:48.03
6,11.11,2:00.92,7,11.22,2:02.01,4,9.90,1:58.42,5,9.91,1:58.53,2,9.42,1:57.60,3,9.54,1:57.83,1,9.43,1:57.46
6,11.35,2:12.27,7,11.55,2:13.56,5,10.07,2:08.49,4,9.92,2:08.45,2,9.71,2:07.31,3,9.84,2:07.67,1,9.74,2:07.20
6,11.69,2:23.96,7,11.70,2:25.26,5,10.39,2:18.88,4,9.88,2:18.33,2,9.65,2:16.96,3,10.23,2:17.90,1,9.60,2:16.80
6,12.06,2:36.02,7,11.96,2:37.22,5,10.99,2:29.87,3,10.01,2:28.34,2,9.55,2:26.51,4,10.56,2:28.46,1,9.57,2:26.37
