GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
4,9.81,9.81,2,9.60,9.60,1,9.59,9.59,6,9.90,9.90,3,9.66,9.66,5,9.83,9.83
3,13.42,23.23,2,13.48,23.08,5,13.88,23.47,6,13.74,23.64,1,13.35,23.01,4,13.50,23.33
4,13.06,36.29,3,13.08,36.16,2,12.67,36.14,5,12.79,36.43,1,13.05,36.06,6,13.17,36.50
5,11.98,48.27,4,12.10,48.26,2,11.90,48.04,6,12.01,48.44,3,12.11,48.17,1,11.41,47.91
1,10.09,58.36,5,10.55,58.81,3,10.64,58.68,6,10.56,59.00,4,10.58,58.75,2,10.66,58.57
1,10.17,1:08.53,5,10.14,1:08.95,2,9.94,1:08.62,6,10.06,1:09.06,4,10.11,1:08.86,3,10.16,1:08.73
1,10.30,1:18.83,5,10.17,1:19.12,3,10.35,1:18.97,6,10.23,1:19.29,2,10.10,1:18.96,4,10.33,1:19.06
3,10.20,1:29.03,1,9.69,1:28.81,2,9.98,1:28.95,6,10.11,1:29.40,4,10.19,1:29.15,5,10.21,1:29.27
6,10.04,1:39.07,2,10.01,1:38.82,1,9.86,1:38.81,5,9.66,1:39.06,3,9.80,1:38.95,4,9.69,1:38.96
6,9.97,1:49.04,3,10.00,1:48.82,1,9.80,1:48.61,4,9.81,1:48.87,5,10.00,1:48.95,2,9.77,1:48.73
6,9.66,1:58.70,4,9.60,1:58.42,1,9.50,1:58.11,5,9.73,1:58.60,3,9.39,1:58.34,2,9.52,1:58.25
5,9.60,2:08.30,3,9.20,2:07.62,1,9.29,2:07.40,6,9.71,2:08.31,2,9.11,2:07.45,4,9.43,2:07.68
5,9.84,2:18.14,3,9.17,2:16.79,2,9.34,2:16.74,6,9.98,2:18.29,1,9.10,2:16.55,4,9.54,2:17.22
5,10.10,2:28.236,2,9.12,2:25.908,3,9.39,2:26.125,6,10.10,2:28.387,1,9.34,2:25.886,4,9.67,2:26.890
