Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
6,8.86,8.86,4,8.60,8.60,5,8.68,8.68,2,8.32,8.32,3,8.47,8.47,1,8.32,8.32
6,11.43,20.30,4,11.47,20.08,5,11.45,20.13,3,11.56,19.88,1,11.22,19.69,2,11.49,19.81
5,11.39,31.69,6,11.63,31.71,3,11.35,31.48,4,11.61,31.49,1,11.55,31.25,2,11.63,31.44
6,11.29,42.98,5,11.11,42.83,1,10.98,42.47,4,11.16,42.66,3,11.36,42.61,2,11.10,42.54
6,10.45,53.44,1,9.94,52.77,2,10.42,52.89,3,10.40,53.06,5,10.67,53.29,4,10.61,53.16
6,9.85,1:03.29,1,10.00,1:02.78,3,9.95,1:02.85,2,9.78,1:02.85,4,9.65,1:02.94,5,9.91,1:03.07
6,9.77,1:13.07,1,9.80,1:12.58,3,9.93,1:12.78,2,9.80,1:12.65,4,9.96,1:12.91,5,9.93,1:13.00
6,9.88,1:22.96,2,10.11,1:22.70,4,10.07,1:22.85,1,9.86,1:22.52,3,9.82,1:22.73,5,9.87,1:22.88
6,9.73,1:32.69,3,9.64,1:32.34,2,9.47,1:32.32,1,9.75,1:32.27,5,9.75,1:32.49,4,9.55,1:32.43
6,9.78,1:42.48,2,9.52,1:41.87,4,9.63,1:41.96,1,9.42,1:41.69,3,9.40,1:41.89,5,9.61,1:42.05
6,9.81,1:52.29,3,9.15,1:51.02,2,9.05,1:51.01,1,9.22,1:50.92,5,9.38,1:51.27,4,9.11,1:51.16
6,10.29,2:02.59,2,9.19,2:00.22,3,9.37,2:00.38,1,9.22,2:00.15,5,9.20,2:00.47,4,9.25,2:00.41
6,10.59,2:13.18,3,9.45,2:09.67,5,9.44,2:09.83,1,9.37,2:09.52,4,9.35,2:09.83,2,9.24,2:09.66
6,11.17,2:24.342,2,9.40,2:19.065,5,9.57,2:19.394,1,9.48,2:18.994,4,9.44,2:19.267,3,9.43,2:19.083
