Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME
2,7.10,7.10,1,6.93,6.93,4,7.64,7.64,3,7.32,7.32
3,9.25,16.35,1,8.79,15.72,4,9.49,17.13,2,9.01,16.33
3,8.73,25.08,1,8.51,24.23,4,8.98,26.11,2,8.59,24.92
3,8.68,33.76,1,8.65,32.88,4,9.12,35.23,2,8.69,33.61
3,8.92,42.68,1,8.93,41.81,4,9.41,44.64,2,8.80,42.41
