HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,12.83,12.83,3,13.03,13.03,2,12.94,12.94,5,13.19,13.19,4,13.12,13.12
2,9.53,22.36,3,9.37,22.40,1,9.35,22.29,5,9.47,22.66,4,9.42,22.54
2,8.89,31.25,3,8.96,31.36,1,8.89,31.18,5,8.88,31.54,4,8.93,31.47
2,9.02,40.27,3,9.00,40.36,1,9.00,40.18,5,9.03,40.57,4,9.01,40.48
2,8.90,49.17,3,8.98,49.34,1,8.98,49.16,5,8.95,49.52,4,8.95,49.43
1,8.66,57.83,3,8.71,58.05,2,8.87,58.03,5,8.81,58.33,4,8.77,58.20
1,8.77,1:06.60,2,8.72,1:06.77,3,8.87,1:06.90,5,9.00,1:07.33,4,8.81,1:07.01
1,8.82,1:15.42,2,8.86,1:15.63,3,8.83,1:15.73,5,9.24,1:16.57,4,8.94,1:15.95
1,8.95,1:24.370,2,9.05,1:24.675,3,9.03,1:24.758,5,9.78,1:26.341,4,9.40,1:25.348
