Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME
1,12.45,12.45,3,12.66,12.66,4,12.79,,2,12.58,12.58,5,13.04,13.04
1,9.60,22.05,3,9.60,22.26,3,9.47,,2,9.54,22.12,5,9.52,22.56
1,9.42,31.47,4,9.88,32.14,5,10.09,,2,9.44,31.56,3,9.36,31.92
1,9.04,40.51,3,9.04,41.18,5,9.04,,2,9.02,40.58,4,9.28,41.20
1,8.99,49.50,3,8.86,50.04,4,9.01,,2,8.97,49.55,5,9.56,50.76
2,9.07,58.57,3,8.89,58.93,4,9.19,,1,8.97,58.52,5,9.69,1:00.45
2,9.14,1:07.71,3,9.07,1:08.00,4,9.59,,1,8.96,1:07.48,5,10.17,1:10.62
2,9.11,1:16.82,3,9.29,1:17.29,4,10.30,,1,9.15,1:16.63,5,10.74,1:21.36
2,9.31,1:26.13,3,9.76,1:27.05,4,10.90,,1,9.25,1:25.88,5,11.12,1:32.48
