Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
3,14.68,14.68,5,14.88,14.88,4,14.79,14.79,1,14.50,14.50,2,14.59,14.59
1,12.00,26.68,4,11.89,26.77,5,12.08,26.87,2,12.20,26.70,3,12.14,26.73
2,10.99,37.67,1,10.80,37.57,5,11.25,38.12,4,11.31,38.01,3,11.12,37.85
1,10.68,48.35,2,10.86,48.43,5,10.62,48.74,3,10.53,48.54,4,10.80,48.65
2,10.74,59.09,1,10.62,59.05,5,10.76,59.50,3,10.73,59.27,4,10.74,59.39
1,10.11,1:09.20,2,10.18,1:09.23,5,10.10,1:09.60,3,10.11,1:09.38,4,10.12,1:09.51
1,9.65,1:18.85,2,9.76,1:18.99,5,9.77,1:19.37,3,9.64,1:19.02,4,9.64,1:19.15
2,9.39,1:28.24,4,9.54,1:28.53,5,9.75,1:29.12,1,9.05,1:28.07,3,9.18,1:28.33
3,9.46,1:37.697,4,9.60,1:38.130,5,10.25,1:39.370,1,9.25,1:37.316,2,9.21,1:37.540
