KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,13.09,13.09,3,13.23,13.23,4,13.36,13.36,2,13.22,13.22,5,13.46,13.46
2,9.79,22.88,1,9.61,22.84,4,9.72,23.08,3,9.81,23.03,5,9.67,23.13
2,9.62,32.50,1,9.60,32.44,4,9.54,32.62,5,9.75,32.78,3,9.47,32.60
2,9.59,42.09,1,9.55,41.99,5,9.72,42.34,3,9.37,42.15,4,9.56,42.16
1,9.34,51.43,2,9.46,51.45,5,9.44,51.78,4,9.57,51.72,3,9.41,51.57
1,8.84,1:00.27,2,9.00,1:00.45,5,9.34,1:01.12,4,8.95,1:00.67,3,8.91,1:00.48
1,8.86,1:09.13,2,8.90,1:09.35,5,9.03,1:10.15,4,8.98,1:09.65,3,9.07,1:09.55
1,8.96,1:18.09,2,8.98,1:18.33,5,9.25,1:19.40,3,8.78,1:18.43,4,9.60,1:19.15
1,9.00,1:27.09,2,9.00,1:27.33,4,9.78,1:29.18,3,9.19,1:27.62,5,10.29,1:29.44
