HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,12.55,12.55,1,12.48,12.48,4,12.75,12.75,3,12.64,12.64
2,9.58,22.13,1,9.59,22.07,4,9.56,22.31,3,9.58,22.22
1,9.33,31.46,2,9.43,31.50,4,9.42,31.73,3,9.40,31.62
1,9.25,40.71,2,9.32,40.82,4,9.28,41.01,3,9.29,40.91
1,9.40,50.11,3,9.38,50.20,4,9.35,50.36,2,9.25,50.16
2,9.13,59.24,3,9.25,59.45,4,9.23,59.59,1,9.02,59.18
1,8.91,1:08.15,3,9.03,1:08.48,4,9.16,1:08.75,2,9.01,1:08.19
1,8.79,1:16.94,3,9.13,1:17.61,4,9.44,1:18.19,2,9.01,1:17.20
1,8.94,1:25.874,3,9.40,1:27.005,4,9.77,1:27.957,2,9.26,1:26.454
