LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME
6,11.04,11.04,3,10.59,10.59,4,10.76,10.76,5,10.88,10.88,1,9.95,9.95,2,10.25,10.25
6,14.70,25.74,3,14.80,25.39,5,14.78,25.54,3,14.51,25.39,2,15.24,25.19,1,14.81,25.06
6,13.72,39.46,3,13.71,39.10,5,13.61,39.15,4,13.73,39.12,2,13.71,38.90,1,13.63,38.69
6,12.40,51.86,5,12.57,51.67,4,12.38,51.53,3,12.22,51.34,1,12.22,51.12,2,12.59,51.28
6,11.53,1:03.39,2,11.32,1:02.99,3,11.56,1:03.09,4,11.79,1:03.13,1,11.82,1:02.94,5,12.03,1:03.31
6,10.96,1:14.35,1,10.91,1:13.90,1,10.81,1:13.90,5,10.95,1:14.08,3,11.07,1:14.01,4,10.72,1:14.03
6,11.42,1:25.77,2,11.35,1:25.25,1,11.21,1:25.11,3,11.30,1:25.38,4,11.44,1:25.45,5,11.46,1:25.49
6,10.69,1:36.46,3,10.88,1:36.13,1,10.84,1:35.95,4,10.85,1:36.23,2,10.56,1:36.01,5,10.76,1:36.25
6,10.79,1:47.25,3,10.86,1:46.99,1,10.85,1:46.80,4,10.77,1:47.00,2,10.84,1:46.85,5,10.82,1:47.07
6,10.86,1:58.11,3,10.58,1:57.57,1,10.52,1:57.32,4,10.58,1:57.58,2,10.55,1:57.40,5,10.62,1:57.69
6,10.60,2:08.71,2,9.93,2:07.50,1,10.13,2:07.45,3,9.96,2:07.54,4,10.27,2:07.67,5,10.04,2:07.73
6,11.04,2:19.75,2,10.10,2:17.60,1,10.07,2:17.52,3,10.14,2:17.68,4,10.12,2:17.79,5,10.08,2:17.81
6,11.41,2:31.16,2,9.83,2:27.43,1,9.90,2:27.42,4,10.00,2:27.68,3,9.75,2:27.54,5,10.17,2:27.98
6,11.97,2:43.13,0,,PHOTO,0,,PHOTO,4,10.22,2:37.90,3,10.03,2:37.57,5,10.70,2:38.68
