LIN Wei POSITION,LIN Wei LAP TIME,LIN Wei ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,KIM Jong Mi POSITION,KIM Jong Mi LAP TIME,KIM Jong Mi ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,9.47,9.47,6,10.02,10.02,2,9.63,9.63,5,9.91,9.91,4,9.81,9.81,3,9.79,9.79
4,13.01,22.48,3,12.42,22.44,1,12.72,22.35,6,12.85,22.76,2,12.59,22.40,5,12.74,22.53
5,11.54,34.02,2,11.27,33.71,1,11.27,33.62,6,11.35,34.11,4,11.53,33.93,3,11.30,33.83
5,11.35,45.37,1,11.12,44.83,2,11.35,44.97,6,11.42,45.53,4,11.33,45.26,3,11.30,45.13
6,10.92,56.29,1,10.87,55.70,2,11.02,55.99,5,10.73,56.26,4,10.95,56.21,3,10.97,56.10
6,10.11,1:06.40,2,10.31,1:06.01,4,10.22,1:06.21,1,9.64,1:05.90,5,10.09,1:06.30,3,10.05,1:06.15
6,10.15,1:16.55,3,10.23,1:16.24,5,10.23,1:16.44,1,10.21,1:16.11,4,10.08,1:16.38,2,10.03,1:16.18
4,10.61,1:27.16,3,10.84,1:27.08,5,17.76,1:34.20,1,10.55,1:26.66,6,22.53,1:38.91,2,10.62,1:26.80
4,10.46,1:37.62,3,10.43,1:37.51,5,14.42,1:48.62,2,10.73,1:37.39,6,19.66,1:58.57,1,10.46,1:37.26
4,10.61,1:48.23,3,10.51,1:48.02,5,11.60,2:00.22,2,10.48,1:47.87,6,13.44,2:12.01,1,10.43,1:47.69
4,10.56,1:58.79,3,9.90,1:57.92,5,11.54,2:11.76,2,9.88,1:57.75,6,13.33,2:25.34,1,10.01,1:57.70
4,10.99,2:09.78,3,9.80,2:07.72,5,12.12,2:23.88,2,9.85,2:07.60,6,13.08,2:38.42,1,9.71,2:07.41
4,11.76,2:21.54,3,9.82,2:17.54,5,12.65,2:36.53,2,9.84,2:17.44,6,12.00,2:50.42,1,9.86,2:17.27
4,12.54,2:34.080,3,9.89,2:27.424,0,,PEN,2,9.92,2:27.356,5,12.88,3:03.300,1,10.02,2:27.289
