ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
1,6.93,6.93,3,7.32,7.32,2,7.16,7.16,4,7.57,7.57
1,9.57,16.50,3,9.43,16.75,2,9.52,16.68,4,9.54,17.11
1,9.04,25.54,3,9.12,25.87,2,9.05,25.73,4,9.75,26.86
1,9.16,34.70,3,9.17,35.04,2,9.12,34.85,4,8.46,35.32
2,9.52,44.221,3,9.93,44.966,1,9.37,44.213,0,,DQ
