Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME
1,9.96,9.96,3,10.10,10.10,6,10.52,10.52,1,9.96,9.96,5,10.44,10.44,4,10.32,10.32
1,13.60,23.56,3,13.71,23.81,5,13.52,24.04,2,13.70,23.66,4,13.50,23.94,6,13.77,24.09
1,12.95,36.51,3,12.88,36.69,5,12.99,37.03,2,12.91,36.57,4,12.92,36.86,6,13.12,37.21
3,12.21,48.72,2,12.02,48.71,6,12.07,49.10,1,12.07,48.64,4,12.09,48.95,5,11.84,49.05
4,10.79,59.51,2,10.59,59.30,6,10.66,59.76,3,10.77,59.41,5,10.68,59.63,1,10.05,59.10
3,9.62,1:09.13,1,9.70,1:09.00,6,9.57,1:09.33,4,9.83,1:09.24,5,9.67,1:09.30,2,9.94,1:09.04
2,9.04,1:18.17,1,9.16,1:18.16,4,9.21,1:18.54,5,14.64,1:23.88,3,8.96,1:18.26,6,16.42,1:25.46
1,9.07,1:27.24,3,9.26,1:27.42,4,9.00,1:27.54,6,28.78,1:52.66,2,9.06,1:27.32,5,15.47,1:40.93
1,9.47,1:36.71,3,9.46,1:36.88,4,9.45,1:36.99,6,16.19,2:08.85,2,9.47,1:36.79,5,12.38,1:53.31
1,9.42,1:46.13,3,9.49,1:46.37,4,9.50,1:46.49,6,12.71,2:21.56,2,9.43,1:46.22,5,12.65,2:05.96
1,9.40,1:55.53,4,9.46,1:55.83,3,9.25,1:55.74,6,11.62,2:33.18,2,9.40,1:55.62,5,11.27,2:17.23
2,9.31,2:04.84,4,9.29,2:05.12,3,9.30,2:05.04,6,11.07,2:44.25,1,9.07,2:04.69,5,11.74,2:28.97
2,8.98,2:13.82,3,9.10,2:14.22,4,9.43,2:14.47,6,10.54,2:54.79,1,8.95,2:13.64,5,11.67,2:40.64
2,9.19,2:23.01,3,9.30,2:23.52,4,9.73,2:24.202,6,10.59,3:05.380,1,9.16,2:22.80,5,11.99,2:52.635
