Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,12.26,12.26,2,12.52,12.52,3,12.61,12.61,4,12.89,12.89
1,9.55,21.81,2,9.70,22.22,4,9.72,22.33,3,9.41,22.30
1,9.54,31.35,3,9.58,31.80,2,9.35,31.68,4,9.63,31.93
1,9.41,40.76,2,9.17,40.97,3,9.34,41.02,4,9.40,41.33
1,9.19,49.95,3,9.70,50.67,2,9.30,50.32,4,9.34,50.67
1,9.12,59.07,3,8.78,59.45,2,8.94,59.26,4,8.88,59.55
1,9.18,1:08.25,3,8.94,1:08.39,2,9.10,1:08.36,4,9.09,1:08.64
2,9.26,1:17.51,3,9.20,1:17.59,1,9.11,1:17.47,4,9.19,1:17.83
3,9.58,1:27.082,2,9.29,1:26.874,1,9.30,1:26.770,4,9.75,1:27.573
