Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME
3,17.18,17.18,1,17.01,17.01,1,17.01,17.01,4,17.37,17.37
2,12.46,29.64,1,12.37,29.38,3,12.78,29.79,4,12.63,30.00
2,11.29,40.93,1,11.41,40.79,3,11.15,40.94,4,11.16,41.16
3,10.20,51.13,1,10.05,50.84,2,10.02,50.96,4,10.22,51.38
3,9.60,1:00.73,1,9.78,1:00.62,2,9.75,1:00.71,4,9.46,1:00.84
4,10.04,1:10.77,1,9.78,1:10.40,2,9.74,1:10.45,3,9.70,1:10.54
4,9.94,1:20.71,1,9.91,1:20.31,3,9.94,1:20.39,2,9.78,1:20.32
4,10.02,1:30.73,3,10.22,1:30.53,2,10.00,1:30.39,1,9.92,1:30.24
4,10.20,1:40.932,3,10.04,1:40.577,2,9.99,1:40.383,1,10.00,1:40.245
