SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Ryuta INOUE POSITION,Ryuta INOUE LAP TIME,Ryuta INOUE ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME
2,8.20,8.20,7,8.45,8.45,3,8.29,8.29,5,8.43,,4,8.33,8.33,1,8.14,8.14,8,8.61,8.61,5,8.43,8.43
6,11.43,19.63,8,11.46,19.91,4,11.15,19.44,7,11.35,,3,10.96,19.29,1,10.84,18.98,5,10.86,19.47,2,10.68,19.11
6,9.90,29.53,8,9.90,29.81,5,9.95,29.39,7,9.93,,3,9.83,29.12,1,9.90,28.88,4,9.85,29.32,2,9.86,28.97
5,9.65,39.18,7,9.52,39.33,6,9.91,39.30,8,9.72,,3,9.82,38.94,1,9.85,38.73,4,9.76,39.08,2,9.84,38.81
7,9.88,49.06,2,9.28,48.61,5,9.50,48.80,8,9.74,,4,9.82,48.76,1,9.81,48.54,6,9.83,48.91,3,9.83,48.64
7,9.55,58.61,1,9.52,58.13,3,9.36,58.16,8,9.58,,5,9.63,58.39,2,9.61,58.15,6,9.61,58.52,4,9.65,58.29
6,9.65,1:08.26,2,9.69,1:07.82,3,9.77,1:07.93,5,9.40,,4,9.65,1:08.04,8,29.22,1:27.37,7,9.86,1:08.38,1,9.48,1:07.77
6,9.58,1:17.84,2,9.65,1:17.47,3,9.61,1:17.54,5,9.58,,3,9.50,1:17.54,8,13.29,1:40.66,7,9.65,1:18.03,1,9.62,1:17.39
6,9.64,1:27.48,3,9.68,1:27.15,4,9.63,1:27.17,5,9.62,,2,9.38,1:26.92,8,11.46,1:52.12,7,9.65,1:27.68,1,9.32,1:26.71
6,9.23,1:36.71,3,9.19,1:36.34,4,9.38,1:36.55,5,9.35,,2,9.32,1:36.24,8,12.68,2:04.80,7,9.76,1:37.44,1,9.27,1:35.98
3,9.12,1:45.83,2,9.29,1:45.63,5,9.49,1:46.04,6,9.38,,4,9.60,1:45.84,8,12.10,2:16.90,7,10.06,1:47.50,1,9.18,1:45.16
2,9.28,1:55.11,3,9.66,1:55.29,6,10.14,1:56.18,5,9.55,,4,9.78,1:55.62,8,11.99,2:28.89,7,10.48,1:57.98,1,9.13,1:54.29
2,9.62,2:04.73,4,10.13,2:05.42,6,10.19,2:06.37,3,9.76,,5,9.98,2:05.60,8,12.15,2:41.04,7,10.79,2:08.77,1,9.35,2:03.64
2,9.91,2:14.64,4,10.15,2:15.57,5,10.79,2:17.144,3,10.05,,5,10.28,2:15.88,7,12.31,2:53.328,6,10.80,2:19.555,1,9.58,2:13.22
