Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
2,9.00,9.00,4,9.36,9.36,5,9.50,9.50,3,9.13,9.13,1,8.94,8.94
2,12.79,21.79,4,12.72,22.08,5,12.71,22.21,3,12.75,21.88,1,12.69,21.63
3,11.95,33.74,4,11.85,33.93,5,11.86,34.07,1,11.60,33.48,2,11.92,33.55
2,10.76,44.50,4,10.87,44.80,5,10.86,44.93,3,11.08,44.56,1,10.95,44.50
2,10.76,55.26,5,10.67,55.47,4,10.47,55.40,3,10.76,55.32,1,10.63,55.13
2,10.71,1:05.97,4,10.71,1:06.18,5,10.79,1:06.19,1,10.63,1:05.95,3,10.92,1:06.05
2,9.81,1:15.78,1,9.44,1:15.62,5,9.89,1:16.08,3,9.86,1:15.81,4,9.87,1:15.92
2,9.45,1:25.23,1,9.53,1:25.15,5,9.39,1:25.47,4,9.49,1:25.30,3,9.36,1:25.28
1,9.06,1:34.29,2,9.22,1:34.37,4,9.08,1:34.55,5,9.37,1:34.67,3,9.13,1:34.41
1,9.02,1:43.31,2,9.04,1:43.41,4,9.07,1:43.62,5,9.08,1:43.75,3,9.07,1:43.48
1,8.73,1:52.04,4,8.97,1:52.38,3,8.73,1:52.35,5,8.83,1:52.58,2,8.68,1:52.16
1,8.59,2:00.63,4,9.06,2:01.44,3,8.65,2:01.00,5,8.94,2:01.52,2,8.70,2:00.86
1,8.61,2:09.24,4,9.50,2:10.94,3,8.91,2:09.91,5,9.43,2:10.95,2,8.92,2:09.78
1,9.25,2:18.486,4,9.73,2:20.667,3,9.31,2:19.218,5,9.84,2:20.786,2,9.34,2:19.115
