Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME
2,7.14,7.14,1,6.80,6.80,5,7.33,7.33,3,7.22,7.22,4,7.31,7.31
2,9.05,16.19,1,8.90,15.70,4,9.45,16.78,3,9.06,16.28,5,9.50,16.81
3,8.57,24.76,1,8.45,24.15,5,8.99,25.77,2,8.41,24.69,4,8.81,25.62
3,8.80,33.56,1,8.48,32.63,5,8.95,34.72,2,8.47,33.16,4,8.85,34.47
3,9.19,42.743,1,8.65,41.274,5,9.28,43.999,2,8.62,41.776,4,8.93,43.396
