GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
1,7.01,7.01,5,7.53,7.53,3,7.34,7.34,2,7.20,7.20,4,7.47,7.47
1,9.29,16.30,5,9.53,17.06,3,9.18,16.52,2,9.24,16.44,4,9.19,16.66
1,8.78,25.08,5,8.92,25.98,3,8.71,25.23,2,8.76,25.20,4,8.70,25.36
1,8.90,33.98,4,9.05,35.03,2,8.86,34.09,3,9.08,34.28,5,21.85,47.21
2,9.04,43.02,4,9.28,44.31,1,8.85,42.94,3,9.41,43.69,5,20.24,1:07.45
