Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME
3,7.11,7.11,1,6.91,6.91,5,7.36,7.36,2,6.93,6.93,4,7.16,7.16
3,9.22,16.33,2,9.17,16.08,4,9.08,16.44,1,8.93,15.86,5,9.42,16.58
3,8.70,25.03,2,8.75,24.83,4,8.66,25.10,1,8.73,24.59,5,8.67,25.25
3,8.84,33.87,2,8.93,33.76,4,8.82,33.92,1,8.77,33.36,5,8.71,33.96
4,10.03,43.892,3,9.77,43.522,0,,PEN,1,9.05,42.409,2,9.38,43.337
