Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
5,9.79,9.79,4,9.56,9.56,2,9.47,9.47,6,10.08,10.08,1,9.35,9.35,3,9.55,9.55
5,15.02,24.81,3,14.96,24.52,2,14.97,24.44,6,14.93,25.01,1,14.94,24.29,4,15.11,24.66
5,14.62,39.43,2,14.69,39.21,4,14.87,39.31,6,14.71,39.72,1,14.83,39.12,3,14.64,39.30
3,11.84,51.27,2,11.96,51.17,5,12.23,51.54,6,12.00,51.72,1,12.01,51.13,4,12.04,51.34
3,10.91,1:02.18,2,10.92,1:02.09,5,10.82,1:02.36,6,10.75,1:02.47,1,10.83,1:01.96,4,10.91,1:02.25
4,11.23,1:13.41,1,11.11,1:13.20,5,11.14,1:13.50,6,11.29,1:13.76,2,11.29,1:13.25,3,11.08,1:13.33
5,10.34,1:23.75,1,10.21,1:23.41,4,10.11,1:23.61,6,10.45,1:24.21,2,10.24,1:23.49,3,10.23,1:23.56
5,10.16,1:33.91,2,10.00,1:33.41,4,10.15,1:33.76,6,10.60,1:34.81,1,9.75,1:33.24,3,9.94,1:33.50
5,9.86,1:43.77,2,9.83,1:43.24,4,9.81,1:43.57,6,11.49,1:46.30,1,9.90,1:43.14,3,9.84,1:43.34
5,10.03,1:53.80,2,10.03,1:53.27,4,9.98,1:53.55,6,12.72,1:59.02,1,10.02,1:53.16,3,10.05,1:53.39
5,10.25,2:04.05,2,10.03,2:03.30,4,10.00,2:03.55,6,14.20,2:13.22,1,10.02,2:03.18,3,9.99,2:03.38
5,10.50,2:14.55,2,9.90,2:13.20,4,9.88,2:13.43,6,14.61,2:27.83,1,9.94,2:13.12,3,9.85,2:13.23
5,11.23,2:25.78,3,9.88,2:23.08,4,9.70,2:23.13,6,13.58,2:41.41,2,9.87,2:22.99,1,9.53,2:22.76
5,12.32,2:38.100,3,9.88,2:32.954,4,10.59,2:33.717,6,14.04,2:55.441,2,9.95,2:32.932,1,9.73,2:32.487
