Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME
3,13.86,13.86,2,13.76,13.76,1,13.63,13.63,4,14.03,14.03
3,10.47,24.33,1,10.51,24.27,2,10.64,24.28,4,10.39,24.43
1,9.84,34.18,2,10.02,34.30,4,10.27,34.56,3,10.04,34.47
1,10.23,44.41,2,10.17,44.47,3,10.05,44.61,4,10.15,44.62
4,34.59,1:19.01,1,10.06,54.54,2,10.03,54.65,3,23.43,1:08.06
4,13.40,1:32.41,1,11.01,1:05.56,2,10.93,1:05.59,3,13.76,1:21.82
4,11.30,1:43.72,1,11.30,1:16.86,2,11.41,1:17.01,3,13.16,1:34.99
4,11.62,1:55.34,1,11.68,1:28.54,2,11.58,1:28.59,3,12.96,1:47.95
3,12.23,2:07.567,1,11.53,1:40.070,0,,DQ,2,12.75,2:00.698
