CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Ivanie BLONDIN POSITION,Ivanie BLONDIN LAP TIME,Ivanie BLONDIN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Debora SECCHI POSITION,Debora SECCHI LAP TIME,Debora SECCHI ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME
0,10.271,10.271,0,10.666,10.666,0,10.296,10.296,0,10.203,10.203,0,10.861,10.861,0,10.730,10.730
0,14.329,24.600,0,14.043,24.709,0,13.915,24.211,0,13.934,24.137,0,14.007,24.868,0,14.430,25.160
0,13.497,38.097,0,13.586,38.294,0,13.889,38.101,0,13.788,37.925,0,13.571,38.439,0,12.489,37.649
0,13.043,51.140,0,12.952,51.247,0,13.015,51.115,0,13.117,51.042,0,13.212,51.651,0,12.932,50.580
0,10.742,1:01.882,0,10.979,1:02.226,0,11.625,1:02.740,0,11.182,1:02.224,0,11.011,1:02.662,0,11.999,1:02.579
0,10.933,1:12.815,0,10.608,1:12.834,0,10.673,1:13.413,0,10.971,1:13.195,0,10.820,1:13.481,0,9.600,1:12.180
0,10.210,1:23.025,0,10.174,1:23.008,0,9.942,1:23.354,0,10.242,1:23.437,0,9.975,1:23.457,0,10.492,1:22.671
0,10.013,1:33.038,0,10.063,1:33.071,0,9.886,1:33.240,0,9.989,1:33.425,0,9.644,1:33.101,0,9.896,1:32.567
0,9.832,1:42.870,0,,,0,9.366,1:42.606,0,9.825,1:43.250,0,9.477,1:42.578,0,9.651,1:42.218
0,9.523,1:52.393,0,,1:53.302,0,9.943,1:52.549,0,9.881,1:53.131,0,9.460,1:52.037,0,10.419,1:52.637
0,10.187,2:02.580,0,9.583,2:02.885,0,9.759,2:02.308,0,10.008,2:03.139,0,9.876,2:01.914,0,9.671,2:02.307
0,9.832,2:12.412,0,10.159,2:13.044,0,9.816,2:12.124,0,10.144,2:13.283,0,10.001,2:11.915,0,9.503,2:11.811
0,10.162,2:22.573,0,10.713,2:23.757,0,9.946,2:22.069,0,9.797,2:23.081,0,9.830,2:21.745,0,10.162,2:21.973
0,,,0,,,0,,,0,,,0,,,0,,
