Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME
2,13.61,13.61,3,13.77,13.77,4,13.79,13.79,1,13.55,13.55
2,11.05,24.67,3,10.93,24.70,4,10.90,24.70,1,11.06,24.61
3,10.33,35.00,1,10.12,34.82,4,10.48,35.18,2,10.29,34.91
2,10.31,45.31,1,10.47,45.30,4,10.38,45.57,3,10.42,45.34
1,9.79,55.11,3,10.09,55.40,4,10.11,55.68,2,10.03,55.37
1,9.86,1:04.97,3,9.81,1:05.21,4,9.76,1:05.44,2,9.65,1:05.02
2,9.80,1:14.78,3,9.91,1:15.12,4,9.83,1:15.28,1,9.71,1:14.74
2,9.97,1:24.75,3,10.06,1:25.19,4,9.97,1:25.26,1,9.95,1:24.70
1,10.01,1:34.754,3,10.47,1:35.659,4,10.46,1:35.719,2,10.20,1:34.898
