Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
2,13.42,13.42,3,13.52,13.52,4,13.65,13.65,1,13.38,13.38
3,11.16,24.58,1,10.65,24.17,4,11.11,24.76,2,11.05,24.43
3,9.77,34.35,1,9.85,34.02,4,10.00,34.76,2,9.76,34.19
3,9.47,43.82,1,9.66,43.68,4,9.23,43.99,2,9.58,43.77
3,9.89,53.71,1,9.86,53.54,4,9.87,53.86,2,9.88,53.65
3,9.68,1:03.39,1,9.72,1:03.26,4,9.70,1:03.56,2,9.69,1:03.34
3,9.98,1:13.37,1,9.90,1:13.16,4,10.00,1:13.56,2,9.95,1:13.29
2,9.18,1:22.55,3,9.55,1:22.71,4,9.72,1:23.28,1,9.18,1:22.47
2,9.34,1:31.889,3,9.84,1:32.550,4,10.32,1:33.595,1,9.35,1:31.814
