LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
4,9.26,9.26,5,9.41,9.41,6,9.55,9.55,2,9.08,9.08,3,9.17,9.17,1,9.04,9.04
5,14.02,23.28,6,14.12,23.53,4,13.60,23.15,2,13.75,22.83,3,13.78,22.95,1,13.58,22.62
5,12.65,35.93,6,12.54,36.07,4,12.47,35.62,1,12.48,35.31,2,12.43,35.38,3,12.79,35.41
5,11.87,47.80,6,11.89,47.96,4,12.05,47.67,1,11.96,47.27,2,12.03,47.41,3,12.06,47.47
5,11.47,59.27,6,11.46,59.42,4,11.43,59.10,1,11.56,58.83,3,11.52,58.93,2,11.40,58.87
4,10.83,1:10.10,6,10.84,1:10.26,5,11.04,1:10.14,2,11.09,1:09.92,3,11.07,1:10.00,1,10.94,1:09.81
4,10.60,1:20.70,2,10.26,1:20.52,6,10.66,1:20.80,5,10.82,1:20.74,3,10.58,1:20.58,1,10.66,1:20.47
1,9.75,1:30.45,3,9.97,1:30.49,4,9.76,1:30.56,6,10.07,1:30.81,5,10.03,1:30.61,2,9.98,1:30.45
2,9.64,1:40.09,3,9.74,1:40.23,1,9.42,1:39.98,6,9.78,1:40.59,4,9.76,1:40.37,5,9.95,1:40.40
2,9.75,1:49.84,3,9.68,1:49.91,1,9.74,1:49.72,6,9.78,1:50.37,4,9.59,1:49.96,5,9.78,1:50.18
2,9.80,1:59.64,3,9.76,1:59.67,1,9.84,1:59.56,6,9.79,2:00.16,4,9.90,1:59.86,5,9.87,2:00.05
3,9.74,2:09.38,1,9.34,2:09.01,2,9.77,2:09.33,6,9.93,2:10.09,4,9.69,2:09.55,5,9.90,2:09.95
2,9.37,2:18.75,1,9.39,2:18.40,3,9.93,2:19.26,6,10.32,2:20.41,4,9.73,2:19.28,5,10.37,2:20.32
2,10.14,2:28.886,1,9.97,2:28.367,3,10.35,2:29.603,5,10.65,2:31.053,4,10.35,2:29.622,6,11.19,2:31.507
