Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
3,14.851,14.851,2,14.658,14.658,4,14.874,14.874,1,14.375,14.375
3,11.115,25.966,1,11.170,25.828,4,11.290,26.163,2,11.537,25.911
1,9.730,35.696,2,10.039,35.866,4,10.014,36.177,3,10.105,36.016
1,9.986,45.681,2,9.868,45.733,4,9.799,45.976,3,9.906,45.922
2,10.048,55.729,1,9.938,55.670,4,10.086,56.062,3,9.922,55.843
2,9.532,1:05.260,1,9.564,1:05.234,4,9.464,1:05.525,3,9.629,1:05.472
2,9.601,1:14.860,1,9.607,1:14.841,4,9.565,1:15.090,3,9.467,1:14.938
3,9.615,1:24.475,1,9.390,1:24.230,4,9.567,1:24.657,2,9.467,1:24.405
3,9.79,1:34.262,1,9.58,1:33.808,4,9.71,1:34.365,2,9.48,1:33.880
