LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
1,13.47,13.47,3,13.78,13.78,2,13.59,13.59,4,13.90,13.90
1,10.75,24.22,4,10.72,24.50,2,10.72,24.31,3,10.50,24.40
1,10.37,34.59,4,10.45,34.95,2,10.32,34.63,3,10.35,34.75
2,9.99,44.58,4,9.88,44.83,1,9.82,44.45,3,9.90,44.65
2,9.76,54.34,4,9.65,54.48,1,9.77,54.22,3,9.79,54.44
3,9.81,1:04.15,2,9.60,1:04.08,1,9.85,1:04.07,4,9.77,1:04.21
3,9.68,1:13.83,1,9.34,1:13.42,2,9.64,1:13.71,4,9.73,1:13.94
3,9.91,1:23.74,1,9.86,1:23.28,2,9.92,1:23.63,4,9.84,1:23.78
3,9.81,1:33.546,1,9.90,1:33.176,2,9.84,1:33.468,4,10.63,1:34.401
