Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
2,7.09,7.09,3,7.21,7.21,4,7.48,7.48,1,6.85,6.85,5,7.54,7.54
2,8.89,15.98,3,9.36,16.57,5,9.59,17.07,1,8.90,15.75,4,9.35,16.89
2,8.34,24.32,3,8.68,25.25,5,9.00,26.07,1,8.45,24.20,4,8.99,25.88
1,8.59,32.91,3,8.78,34.03,5,9.03,35.10,2,9.14,33.34,4,9.08,34.96
1,8.88,41.79,3,8.96,42.990,5,9.18,44.288,2,8.87,42.21,4,9.25,44.213
