NIKOLOVA  (DUPL) Marina POSITION,NIKOLOVA  (DUPL) Marina LAP TIME,NIKOLOVA  (DUPL) Marina ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
3,14.30,14.30,2,14.23,14.23,4,14.37,14.37,1,14.09,14.09
3,10.51,24.81,2,10.44,24.68,4,10.47,24.84,1,10.34,24.44
4,10.81,35.62,2,10.56,35.24,3,10.77,35.61,1,10.79,35.23
3,10.07,45.70,2,10.32,45.57,4,10.17,45.79,1,10.14,45.38
3,10.02,55.72,2,9.93,55.50,4,10.00,55.80,1,9.89,55.27
3,9.41,1:05.13,2,9.56,1:05.07,4,9.51,1:05.31,1,9.52,1:04.79
3,9.65,1:14.79,2,9.51,1:14.58,4,9.53,1:14.84,1,9.62,1:14.41
3,9.48,1:24.27,2,9.61,1:24.20,4,9.55,1:24.40,1,9.57,1:23.99
1,9.53,1:33.800,3,10.02,1:34.219,4,9.97,1:34.369,2,10.04,1:34.026
